,name,username,description,location,followers,numberstatuses,time,tweets,wordlist,word_count,sentiment_label,sentiment_score
833,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,12/30/2015 20:33,"@JohnDaTRiPp3r @iscomedygold 
https://t.co/DfMb2onRwK","['johndatrippr', 'iscomedygold']",53,POS,0.7637581825256348
834,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,12/30/2015 23:38,@_____Caliph____ Quality Room hamdolilah,"['caliph', 'quality', 'room', 'hamdolilah']",40,POS,0.6436857581138611
849,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,12/31/2015 23:01,@GrayfR0 ameen. And may Allah make it easy for them to make hijrah.,"['ameen', 'hijrah', 'allah', 'make', 'grayfr', 'may', 'easy']",67,POS,0.8049154281616211
850,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,12/31/2015 23:25,@two_umm yes exactly..thanks for the translation. I thought the ukht undrstands it @_UmmSayfullah_,"['thought', 'undrstands', 'twoumm', 'ummsayfullah', 'ukht', 'translation', 'yes', 'exactlythanks']",98,POS,0.6542225480079651
859,abu baker aldimashqi,abubakerdimshqi,,,119,273,1/1/2016 16:37,"@reynaldo_vegas1 @muhammad1187 @bssjd1 @redbandanna11 @Mujahid_Deen6 
very interesting article Jazak Allah","['mujahiddeen', 'redbandanna', 'muhammad', 'interesting', 'allah', 'article', 'jazak', 'reynaldovegas', 'bssjd']",106,POS,0.8679439425468445
891,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,1/2/2016 8:15,My best RTs this week came from: @Ebrahym2039 @HamzaBosnawi @Muslimwitness4 @nextBEE23 #thankSAll Who were yours? https://t.co/81yvekj6jC,"['', 'ebrahym', 'came', 'best', 'muslimwitness', 'nextbee', 'rts', 'hamzabosnawi', 'week']",137,POS,0.6507238745689392
920,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,1/4/2016 3:00,@AKAOMAR157 @AlSaudTheJews @YouTube hahahahaha very funny,"['hahahahaha', 'alsaudthejews', 'akaomar', 'youtube', 'funny']",57,POS,0.6735633611679077
943,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197,1561,1/5/2016 19:41,"May Allah accept him Sheikh Faris AL Showail, we weren't brave as you to speak out the tawageeth. May Allah reunite us in Jannah. Ameen","['jannah', 'brave', 'sheikh', 'faris', 'ameen', 'al', 'allah', 'speak', 'accept', 'may', 'tawageeth', 'reunite', 'u', 'showail', 'werent']",135,POS,0.7283445000648499
955,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,1/6/2016 6:17,"RT @Hanisalaad1: Some people may not wake up this morning as we do.Alhamdulillah for yesterday. Alhamdulillah for today.Alhamdulillah for…","['hanisalaad', 'wake', 'alhamdulillah', 'morning', 'people', 'todayalhamdulillah', 'doalhamdulillah', 'may', 'yesterday']",140,POS,0.5547274351119995
975,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,1/7/2016 6:20,@bintemergent i love horse riding,"['love', 'horse', 'riding', 'bintemergent']",33,POS,0.9896286725997925
995,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,1/9/2016 6:49,My best RTs this week came from: @arbaramzi18 @mustho @NasheedHunter @HeartHasStereo #thankSAll Who were yours? https://t.co/81yvekj6jC,"['', 'nasheedhunter', 'came', 'best', 'arbaramzi', 'rts', 'mustho', 'hearthasstereo', 'week']",135,POS,0.9129310846328735
998,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139,656,1/9/2016 11:18,RT @thevictoryseri4: In the name of Allah the most gracious the most merciful,"['gracious', 'name', 'merciful', 'allah', 'thevictoryseri']",77,POS,0.8911411166191101
1037,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139,656,1/10/2016 21:12,"RT @thevictoryseri4: https://t.co/k7xgrj1Nz8 

The Victory Revelations Pt 2 was an important episode made some of our viewers cry https://t…","['cry', 'revelation', 'episode', 'made', 'pt', 'victory', 'viewer', 'thevictoryseri', 'important']",140,POS,0.7315378189086914
1041,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,1/11/2016 8:09,Peace be upon those who follow the true path.,"['peace', 'upon', 'follow', 'path', 'true']",45,POS,0.6016491055488586
1058,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,1/11/2016 21:37,RT @vali_nasr: An excellent account of rise of #ISIS @JobyWarrick Black Flags: The Rise of ISIS https://t.co/d7iZKkx0EY,"['', 'isi', 'account', 'excellent', 'jobywarrick', 'rise', 'flag', 'black', 'valinasr']",119,POS,0.958104133605957
1070,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,1/12/2016 7:18,"@__Kebab_ayran__ Asslamalikum akhi how r u what a surprise you r also here 
i following you for DM follow back akhi","['r', 'follow', 'surprise', 'back', 'kebabayran', 'akhi', 'dm', 'also', 'asslamalikum', 'following', 'u']",115,POS,0.7003636360168457
1091,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,1/13/2016 4:07,"#Wilayat_Hadramaut: They are the best between myself and them. (Al Mujam Al Kabeer, 11:56) 2/2","['', 'kabeer', 'best', 'al', 'mujam']",94,POS,0.9219315052032471
1117,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139,656,1/13/2016 21:29,@DidyouknowVS Great work bro subhanallah! didn't know this!!!,"['subhanallah', 'work', 'bro', 'great', 'know', 'didnt', 'didyouknowvs']",61,POS,0.9891726970672607
1144,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,1/15/2016 14:47,@jamac78316414 they doing good,"['good', 'jamac']",30,POS,0.913383960723877
1148,Abu_Azzam25,Abu_Azzzam25,,,35,118,1/15/2016 15:44,You are invincible! Allahu Akbar! https://t.co/Wl6WVkPUfa,"['akbar', 'invincible', 'allahu']",57,POS,0.7614991068840027
1162,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,1/15/2016 22:21,@AKAOMAR160 only that carton pic looks better :-),"['pic', 'akaomar', 'look', 'better', 'carton']",49,POS,0.9153107404708862
1176,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873,91,1/16/2016 8:17,@AbuHaleema164 May Allah reward you jannah in shaAllah as He did the massagers,"['abuhaleema', 'jannah', 'reward', 'shaallah', 'massager', 'allah', 'may']",78,POS,0.5088067650794983
1177,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,1/16/2016 8:21,My best RTs this week came from: @aliramyz @iFayaz @Huxxaeen @NasheedHunter #thankSAll Who were yours? https://t.co/81yvekAHba,"['', 'huxxaeen', 'nasheedhunter', 'ifayaz', 'came', 'best', 'aliramyz', 'rts', 'week']",126,POS,0.9185500741004944
1185,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873,91,1/16/2016 11:25,"I'm back for those who miss me :) Follow Spread &amp; 
      ⭐Retweet⭐
🌟Great IS Nation🌟
@JoinISNation101
@JoinISNation102 
@GreatISNation00","['greatisnation', 'nationjoinisnationjoinisnation', 'amp', 'spread', 'im', 'follow', 'back', 'retweetgreat', 'miss']",140,POS,0.937730610370636
1256,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139,656,1/17/2016 14:22,"RT @thevictoryseri4: ""We never surrender we win or die"" 
Umar Mukhtar Rahimullah - The Victory Revelations Pt 4 - British&amp;French Crusade ht…","['rahimullah', 'revelation', 'mukhtar', 'britishampfrench', 'pt', 'never', 'die', 'surrender', 'crusade', 'win', 'victory', 'umar', 'thevictoryseri', 'ht']",144,POS,0.5626489520072937
1270,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742,348,1/17/2016 22:25,"@leithfadel Massive TACTICAL RETREAT of ""brave"" SAA soldiers in Deir Ezzor...","['leithfadel', 'brave', 'deir', 'massive', 'retreat', 'tactical', 'ezzor', 'soldier', 'saa']",77,POS,0.7380855679512024
1305,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,1/19/2016 7:39,@schoremis1 @Reuters Aaah thank u we will live in peace insch'Allah,"['peace', 'thank', 'reuters', 'schoremis', 'aaah', 'live', 'inschallah', 'u']",67,POS,0.8382138609886169
1308,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,1/19/2016 8:01,"@tedcruz This guy dream,I think #ISIS will stay in power till the end of the world","['', 'stay', 'dreami', 'tedcruz', 'power', 'world', 'till', 'think', 'end', 'guy']",82,POS,0.8594053387641907
1312,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,1/19/2016 10:45,RT @Ayisha_Bengali_: It is more rewarding this way. Make dua. Speak to Allah swt https://t.co/LDjebBrvZa,"['ayishabengali', 'rewarding', 'way', 'dua', 'speak', 'allah', 'make', 'swt']",104,POS,0.9418387413024902
1405,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,1/21/2016 17:24,@MaghrebiAZ Welcom back akhi 3aziz,"['aziz', 'back', 'akhi', 'maghrebiaz', 'welcom']",34,POS,0.8004679679870605
1416,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,1/22/2016 7:02,"RT @Alhamdhulillaah: No one can love or care for us as much as Allah does. To know that Allah loves us so much is such an honour, SubhanAll…","['know', 'honour', 'love', 'subhanall', 'allah', 'care', 'alhamdhulillaah', 'one', 'u', 'much']",140,POS,0.9608370661735535
1417,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,1/22/2016 8:21,RT @Alhamdhulillaah: From Allah comes all provision.,"['allah', 'provision', 'come', 'alhamdhulillaah']",52,POS,0.5620630383491516
1419,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,1/22/2016 9:57,"RT @Alhamdhulillaah: ❤️Love الله 
❤️Love Muhammad ﷺ 
❤️Love Qur'an
❤️Love Islam","['love', 'muhammad', 'islam', 'alhamdhulillaah', 'quranlove']",79,POS,0.983831524848938
1459,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,1/23/2016 7:35,My best RTs this week came from: @dhivehistan @mahatmadeen3237 #thankSAll Who were yours? https://t.co/81yvekAHba,"['', 'came', 'best', 'mahatmadeen', 'rts', 'dhivehistan', 'week']",113,POS,0.84309983253479
1462,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,1/23/2016 10:23,Great research... Trigger is just pulled. https://t.co/snCOnphEAs,"['trigger', 'pulled', 'great', 'research']",65,POS,0.863624632358551
1497,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193,103,1/24/2016 4:07,"They have to, and they better be fast learners...  https://t.co/WmIBXykkF5","['fast', 'learner', 'better']",74,POS,0.885296106338501
1534,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,1/25/2016 7:38,"Too funny😂

https://t.co/arNO5N2JSK",['funny'],35,POS,0.6817707419395447
1556,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,1/25/2016 18:49,"Cryptography (Encryption)
Watch ""The Imitation Game"" movie Interesting.
Nd @Snowden u got jealous f #ISIS skills abruptly.Attack happend so?","['', 'skill', 'movie', 'jealous', 'encryptionwatch', 'happend', 'got', 'imitation', 'snowden', 'game', 'cryptography', 'interestingnd', 'abruptlyattack', 'u', 'f']",140,POS,0.5772269368171692
1559,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,1/25/2016 18:59,"RT @UWT_UK: These young brothers in Idlib, #Syria, will stay warm at night thanks to you. https://t.co/E7zTPLwWdB","['', 'stay', 'uwtuk', 'brother', 'idlib', 'young', 'warm', 'night', 'thanks']",113,POS,0.522994875907898
1608,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193,103,1/26/2016 18:29,"RT @apb_is: Cleanup &amp; recovery efforts by the brothers in #IslamicState.
May Allah ta'ala bless them &amp; reward them in abundance! https://t.…","['', 'cleanup', 'taala', 'apbis', 'recovery', 'amp', 'reward', 'brother', 'allah', 'effort', 'abundance', 'bless']",148,POS,0.8365040421485901
1623,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,1/26/2016 21:19,😂😂😂😂😂 seems like flying empty planes is a good idea 😂😂 https://t.co/mSkhQ0sHPE,"['idea', 'plane', 'seems', 'good', 'flying', 'empty', 'like']",78,POS,0.740210771560669
1720,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,1/28/2016 12:36,"RT @Nidalgazaui: HUGE
#ISIS makes huge gains near #Arsal #Lebanon. https://t.co/SSTmO74K1K","['', 'nidalgazaui', 'near', 'huge', 'make', 'huge#isis', 'gain']",90,POS,0.6615533828735352
1762,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,1/28/2016 19:56,"It should not be ""YES WE CAN President Obama""; it should be ""Go fuck yourself President Obama"" #USA #Syria #Geneva https://t.co/X2QHk8xkTt","['', 'go', 'president', 'obama', 'yes', 'fuck']",138,POS,0.4652657210826874
1785,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,1/29/2016 8:16,May Allah protect her.😢 https://t.co/9yUmedF6zp,"['allah', 'protect', 'may']",47,POS,0.566179096698761
1790,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,1/29/2016 8:39,@KafHaYaAinShad_ subhanallah their hearts are strong. watch &amp; see these cubs   become lions bithnilah ☝,"['subhanallah', 'heart', 'lion', 'watch', 'strong', 'amp', 'kafhayaainshad', 'bithnilah', 'cub', 'see', 'become']",107,POS,0.5325677394866943
1849,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193,103,1/29/2016 16:36,"RT @arbrelotee_: Guys, check what Emily's family had to say. May Allāh be pleased with you all! 😔 https://t.co/mHIB9dSQFP","['pleased', 'allh', 'say', 'check', 'may', 'arbrelotee', 'family', 'guy', 'emilys']",121,POS,0.9845912456512451
1872,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193,103,1/29/2016 19:38,RT @erozenn: Brothers in the state are seeing a lot of dreams lately. There are BIG fut7at coming up soon inshaAllah.  Thabaat needed until…,"['big', 'soon', 'futat', 'coming', 'inshaallah', 'erozenn', 'thabaat', 'brother', 'needed', 'lot', 'dream', 'lately', 'state', 'seeing']",140,POS,0.9658235311508179
1933,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,1/30/2016 1:45,"Our dear sister is back Alhumdulilah 💜 💚 💚 💚 
@UmmLina6","['sister', 'ummlina', 'alhumdulilah', 'dear', 'back']",55,POS,0.7455030679702759
1943,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,1/30/2016 7:35,My best RTs this week came from: @muruthallah @mahatmadeen3237 @StrangerBro2 #thankSAll Who were yours? https://t.co/81yvekj6jC,"['', 'muruthallah', 'came', 'best', 'mahatmadeen', 'rts', 'strangerbro', 'week']",127,POS,0.8976397514343262
2009,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193,103,1/30/2016 16:33,"RT @apb_is: Blessed land of Caliphate;
Rainy days in #Mosul, #IslamicState.. https://t.co/cPlrSPqxxq","['', 'land', 'apbis', 'day', 'caliphaterainy', 'blessed']",100,POS,0.9494166970252991
