,name,username,description,location,followers,numberstatuses,time,tweets,wordlist,word_count,sentiment_label,sentiment_score
180,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,9/8/2015 8:03,RT @RamiAlLolah: Happens only in the pathetic Western media: the Terrorist Dogs transform into Rebels! #Turkey #PKK #TwitterKurds https://t…,"['', 'rebel', 'western', 'transform', 'pathetic', 'ramiallolah', 'dog', 'medium', 'terrorist', 'happens']",140,NEG,0.9733245968818665
181,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,9/8/2015 8:04,RT @RamiAlLolah: #Washington's tail; the head of #HDP threatens #Ankara he will turn #Turkey into another #Syria.. #PKK #TwitterKurds https…,"['', 'turn', 'threatens', 'head', 'ramiallolah', 'tail', 'another']",140,NEG,0.6096407771110535
184,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,823,127,9/9/2015 6:32,"Sh Abu Mus'ab Az Zarqawi Rahimahullāh while he's a leader of Tandhim Tawheed wal Jihad beheading an american. Enjoy
https://t.co/rBRMmFR2Wu","['wal', 'musab', 'az', 'enjoy', 'he', 'sh', 'tandhim', 'beheading', 'american', 'abu', 'jihad', 'zarqawi', 'rahimahullh', 'tawheed', 'leader']",139,NEG,0.9539117217063904
189,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,823,127,9/9/2015 13:33,Two martyrdom operations conducted in vicinity of #DeirEzzor Airport following with the massive attacks by the fighters of #IslamicState,"['', 'airport', 'martyrdom', 'massive', 'two', 'attack', 'fighter', 'following', 'operation', 'vicinity', 'conducted']",136,NEG,0.9306018352508545
204,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/10/2015 20:42,There is no good in us if the people of Shaam corrupt,"['shaam', 'people', 'corrupt', 'good', 'u']",53,NEG,0.9727774262428284
211,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,823,127,9/12/2015 15:10,"RT @EjmAlrai: #JN #AQ spokesperson harshly attack #Ahrar al-sham with an endless list of accusation. #Syria.
https://t.co/db8GGSMvBH","['', 'spokesperson', 'ejmalrai', 'harshly', 'alsham', 'attack', 'accusation', 'list', 'endless']",132,NEG,0.7330803871154785
212,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/13/2015 8:42,May Allah protect you from all bad people  https://t.co/Cy4BjQJdDo,"['bad', 'people', 'allah', 'protect', 'may']",66,NEG,0.9431901574134827
215,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/13/2015 10:00,"Where are Muslims where ared the real #IS #MUJAHDEEN, what a shame
so disappointed  https://t.co/qoeolQHPbj","['', 'real', 'shameso', 'ared', 'disappointed', 'muslim']",107,NEG,0.9699744582176208
216,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/13/2015 10:01,RT @AimanofArabia: A summary of what happened in Masjid Al Aqsa this morning. Israel thinks it can stop people from coming to pray. http://…,"['israel', 'http', 'pray', 'stop', 'coming', 'morning', 'al', 'people', 'masjid', 'summary', 'aimanofarabia', 'aqsa', 'think', 'happened']",140,NEG,0.7026297450065613
223,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/15/2015 15:50,@IraqiSuryani1 @W_Jurjia and what about HOUTHY Militia booms and attacks civilian why you don't mention it!,"['militia', 'boom', 'dont', 'mention', 'houthy', 'civilian', 'attack', 'iraqisuryani', 'wjurjia']",107,NEG,0.5179620981216431
225,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/19/2015 16:43,"any 1 can tell what make those Chiekh speak this way
is it for the sake of the Western Govs or brain washed by media https://t.co/Q1Y3NSWld6","['chiekh', 'western', 'tell', 'sake', 'wayis', 'speak', 'make', 'washed', 'brain', 'govs', 'medium']",140,NEG,0.6852410435676575
226,abu baker aldimashqi,abubakerdimshqi,,,119,273,9/19/2015 16:49,The big propaganda of #Human #Rights  https://t.co/XMo5zCCB1s,"['', 'big', 'propaganda']",61,NEG,0.7709749341011047
234,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/23/2015 14:33,Filled with terror! https://t.co/Y3pshQKsP1,"['filled', 'terror']",43,NEG,0.6374499797821045
235,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/23/2015 14:36,@EndOfTimes411 they will be captured and detained!,"['endoftimes', 'captured', 'detained']",50,NEG,0.923017144203186
237,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/23/2015 14:38,Nuclear War is coming!!! https://t.co/v73GmveabI,"['nuclear', 'coming', 'war']",48,NEG,0.8342393636703491
243,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/23/2015 21:58,RT @markito0171: #Syria #Damascus Regime dropped nearly 100 barrel bombs on southern #Dariya suburb the past 2 days,"['', 'nearly', 'barrel', 'southern', 'day', 'past', 'markito', 'bomb', 'dropped', 'regime', 'suburb']",115,NEG,0.6387767791748047
248,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/23/2015 22:47,RT @EyeOnMilitant: #Syria Daesh claims a suicide attack in the Al-Zahra area of #Homs http://t.co/7Xu2jGqsDI,"['', 'alzahra', 'area', 'daesh', 'suicide', 'attack', 'claim', 'eyeonmilitant']",108,NEG,0.8820924162864685
251,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/24/2015 4:31,@Skxx59 the JN AQ is he crying? Maybe bcause he was forced to do it..!,"['jn', 'cry', 'bcause', 'forced', 'skxx', 'maybe', 'aq']",70,NEG,0.8759071230888367
252,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/24/2015 4:35,@Skxx59 why? cant we access the server?,"['server', 'skxx', 'access', 'cant']",39,NEG,0.5710340738296509
256,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/24/2015 14:33,RT @Conflicts: Yemen ISIS branch says it’s behind mosque blast that killed 25 - @AlArabiya_Eng http://t.co/VwzQVy5ojY,"['killed', 'yemen', 'blast', 'say', 'isi', 'conflict', 'alarabiyaeng', 'behind', 'branch', 'mosque']",117,NEG,0.9477090835571289
257,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/24/2015 14:37,"RT @RT_com: BREAKING: 100 people killed, 390 injured outside #Mecca in Hajj crush – media http://t.co/Yedd2eymd3 http://t.co/VHrvAGxBS4","['', 'outside', 'killed', 'crush', 'breaking', 'people', 'injured', 'rtcom', 'hajj', 'medium']",135,NEG,0.9668639302253723
258,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/24/2015 14:40,@Haditha21 @ibnu_noran8 @etdz101010 @WilayatHalab @Abu_adamm iwont go away.die in rage!,"['iwont', 'go', 'awaydie', 'ibnunoran', 'haditha', 'wilayathalab', 'abuadamm', 'rage', 'etdz']",87,NEG,0.6187282800674438
259,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/24/2015 14:40,@Haditha21 @ibnu_noran8 @etdz101010 @WilayatHalab @Abu_adamm i dont.block me if you want u fool,"['want', 'fool', 'ibnunoran', 'dontblock', 'haditha', 'wilayathalab', 'abuadamm', 'u', 'etdz']",95,NEG,0.9645357728004456
266,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/24/2015 14:51,@Haditha21 @ibnu_noran8 @etdz101010 @WilayatHalab @Abu_adamm you dont know me then judge me a murtad! Woe to you! Shame on you!,"['dont', 'ibnunoran', 'judge', 'woe', 'haditha', 'murtad', 'wilayathalab', 'know', 'shame', 'abuadamm', 'etdz']",127,NEG,0.6143609285354614
267,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/24/2015 14:53,@Haditha21 @ibnu_noran8 @etdz101010 @WilayatHalab @Abu_adamm you judge me without proof!we wil see each other on judgement day you fool,"['proofwe', 'fool', 'ibnunoran', 'judge', 'day', 'without', 'haditha', 'wilayathalab', 'see', 'wil', 'abuadamm', 'etdz', 'judgement']",135,NEG,0.5200150012969971
269,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 6:03,@Shooter19681 @AppleSUX yes.the propaganda of the kuffar to discredit the khilafa is so strong but its Allah swt who givs guidance,"['khilafa', 'shooter', 'strong', 'allah', 'guidance', 'propaganda', 'applesux', 'discredit', 'givs', 'swt', 'kuffar', 'yesthe']",130,NEG,0.8480695486068726
275,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 12:03,"RT @Terror_Monitor: #IRAQ
#IslamicState (#ISIS) Terror Group Claims To Have Killed 401 High Ranking #Iraqi &amp; #Iranian Officers Since 2014 h…","['officer', 'group', '', 'ranking', 'terror', 'killed', 'amp', 'high', 'claim', 'terrormonitor', 'since', 'h']",144,NEG,0.9460227489471436
277,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 13:39,Not a risk but its already a reality! https://t.co/zqGLtzRZlJ,"['already', 'reality', 'risk']",61,NEG,0.6739668250083923
280,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 13:56,@WilayatNinawa i follow our rules.not yours!,"['wilayatninawa', 'rulesnot', 'follow']",44,NEG,0.9131668210029602
284,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 14:19,@WilayatNinawa and if you think im that dumb..your wrong.im not alone here.i hav companions who are like me.,"['hav', 'companion', 'wilayatninawa', 'im', 'like', 'dumbyour', 'think', 'alone', 'wrongim', 'herei']",108,NEG,0.8737607002258301
286,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 14:22,@WilayatNinawa your really really dumb.do you think im dumb to send you my real pic and reveal my real identity to someone i dont know?,"['know', 'dont', 'dumb', 'wilayatninawa', 'reveal', 'send', 'dumbdo', 'real', 'im', 'pic', 'identity', 'really', 'think', 'someone']",135,NEG,0.6308887600898743
287,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 14:23,@WilayatNinawa hahaha..dumb you are.we and our group intentionally did that to test how people react on twitter,"['group', 'react', 'test', 'twitter', 'wilayatninawa', 'people', 'hahahadumb', 'intentionally', 'arewe']",111,NEG,0.968010425567627
288,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 14:29,This guy thinks im that dumb to reveal my identity to someone like him whom i dont know! https://t.co/MAojcv0Kc3,"['know', 'dont', 'think', 'reveal', 'im', 'identity', 'dumb', 'someone', 'guy', 'like']",112,NEG,0.8396544456481934
293,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 14:41,@coalitionhaqq thats not me and we intentionally did that to test twitter reaction.cant trust anybody here.they react badly and blindly!,"['react', 'twitter', 'test', 'trust', 'badly', 'thats', 'reactioncant', 'blindly', 'anybody', 'intentionally', 'coalitionhaqq', 'herethey']",136,NEG,0.7987392544746399
296,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 14:50,To all my baqiya family.please for giv me for causing confusion.its our way how to test twitter reaction.our group intentionally did that,"['familyplease', 'group', 'way', 'test', 'twitter', 'causing', 'reactionour', 'baqiya', 'confusionits', 'intentionally', 'giv']",137,NEG,0.5439306497573853
298,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 14:52,Trust nobody on twitter,"['trust', 'nobody', 'twitter']",23,NEG,0.5702019333839417
302,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 15:55,@shammlly12 @WilayatNinawa yes.we know that akhi.our group just wanted to know or test something.sory for the inconvenience,"['akhiour', 'group', 'shammlly', 'yeswe', 'test', 'somethingsory', 'wilayatninawa', 'inconvenience', 'know', 'wanted']",123,NEG,0.5755646824836731
306,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 16:00,@11_HaqqPrevails @_croxetti_ @ProJ32 @Somaliyyah im very sory sister.iwas just tasked to do it.sory if i broke your heart or feling,"['heart', 'sory', 'somaliyyah', 'haqqprevails', 'im', 'tasked', 'broke', 'feling', 'proj', 'itsory', 'sisteriwas', 'croxetti']",131,NEG,0.8982650637626648
310,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 16:08,@11_HaqqPrevails @_croxetti_ @ProJ32 @Somaliyyah everything was fake from the beginning.anyway we are finished..this acount is xpendable,"['fake', 'somaliyyah', 'haqqprevails', 'finishedthis', 'xpendable', 'everything', 'beginninganyway', 'proj', 'acount', 'croxetti']",136,NEG,0.7378066778182983
314,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,9/25/2015 20:21,@_croxetti_ @11_HaqqPrevails @ProJ32 @Somaliyyah we cant blame them akhi.. human inteligence or maybe they know better than us,"['somaliyyah', 'croxetti', 'human', 'maybe', 'inteligence', 'akhi', 'blame', 'better', 'know', 'proj', 'u', 'cant', 'haqqprevails']",126,NEG,0.592766284942627
319,al-Nusra,al_nusra,,,350,190,9/27/2015 14:32,"Killed 12iraqi soldiers by IS attack began wit 2car mines on army HQ in alurdani hospital, East Fallujah &amp; ended with control on it","['control', 'killed', 'wit', 'fallujah', 'amp', 'ended', 'began', 'car', 'hq', 'east', 'attack', 'hospital', 'army', 'alurdani', 'iraqi', 'mine', 'soldier']",135,NEG,0.7876582145690918
321,al-Nusra,al_nusra,,,350,190,9/27/2015 14:33,"Islamic state shot down a reconnaissance aircraft in the Western Anbar province, Al-Baghdadi #iraq","['', 'western', 'province', 'shot', 'anbar', 'aircraft', 'islamic', 'reconnaissance', 'state', 'albaghdadi']",98,NEG,0.7921577095985413
